Driver,LapNumber,LapTime,Compound,Stint,PitInTime,PitOutTime,Year,Round
GAS,1.0,0 days 00:01:19.106000,MEDIUM,1.0,,,2020,1
GAS,2.0,0 days 00:01:12.412000,MEDIUM,1.0,,,2020,1
GAS,3.0,0 days 00:01:11.311000,MEDIUM,1.0,,,2020,1
GAS,4.0,0 days 00:01:10.725000,MEDIUM,1.0,,,2020,1
GAS,5.0,0 days 00:01:11.511000,MEDIUM,1.0,,,2020,1
GAS,6.0,0 days 00:01:12.028000,MEDIUM,1.0,,,2020,1
GAS,7.0,0 days 00:01:11.173000,MEDIUM,1.0,,,2020,1
GAS,8.0,0 days 00:01:10.912000,MEDIUM,1.0,,,2020,1
GAS,9.0,0 days 00:01:10.827000,MEDIUM,1.0,,,2020,1
GAS,10.0,0 days 00:01:10.970000,MEDIUM,1.0,,,2020,1
GAS,11.0,0 days 00:01:10.953000,MEDIUM,1.0,,,2020,1
GAS,12.0,0 days 00:01:10.762000,MEDIUM,1.0,,,2020,1
GAS,13.0,0 days 00:01:10.844000,MEDIUM,1.0,,,2020,1
GAS,14.0,0 days 00:01:10.712000,MEDIUM,1.0,,,2020,1
GAS,15.0,0 days 00:01:10.939000,MEDIUM,1.0,,,2020,1
GAS,16.0,0 days 00:01:10.733000,MEDIUM,1.0,,,2020,1
GAS,17.0,0 days 00:01:10.535000,MEDIUM,1.0,,,2020,1
GAS,18.0,0 days 00:01:10.672000,MEDIUM,1.0,,,2020,1
GAS,19.0,0 days 00:01:10.568000,MEDIUM,1.0,,,2020,1
GAS,20.0,0 days 00:01:10.610000,MEDIUM,1.0,,,2020,1
GAS,21.0,0 days 00:01:35.769000,MEDIUM,1.0,0 days 01:04:02.960000,,2020,1
GAS,22.0,0 days 00:01:49.983000,MEDIUM,1.0,,0 days 01:04:25.450000,2020,1
GAS,23.0,0 days 00:01:21.920000,MEDIUM,1.0,,,2020,1
GAS,24.0,0 days 00:01:54.011000,MEDIUM,1.0,,,2020,1
GAS,25.0,0 days 00:01:45.599000,HARD,2.0,,,2020,1
GAS,26.0,0 days 00:01:11.099000,HARD,2.0,,,2020,1
GAS,27.0,0 days 00:01:10.283000,HARD,2.0,,,2020,1
GAS,28.0,0 days 00:01:09.999000,HARD,2.0,,,2020,1
GAS,29.0,0 days 00:01:09.628000,HARD,2.0,,,2020,1
GAS,30.0,0 days 00:01:09.952000,HARD,2.0,,,2020,1
GAS,31.0,0 days 00:01:09.969000,HARD,2.0,,,2020,1
GAS,32.0,0 days 00:01:09.864000,HARD,2.0,,,2020,1
GAS,33.0,0 days 00:01:09.576000,HARD,2.0,,,2020,1
GAS,34.0,0 days 00:01:09.839000,HARD,2.0,,,2020,1
GAS,35.0,0 days 00:01:09.821000,HARD,2.0,,,2020,1
GAS,36.0,0 days 00:01:09.813000,HARD,2.0,,,2020,1
GAS,37.0,0 days 00:01:09.805000,HARD,2.0,,,2020,1
GAS,38.0,0 days 00:01:09.595000,HARD,2.0,,,2020,1
GAS,39.0,0 days 00:01:09.821000,HARD,2.0,,,2020,1
GAS,40.0,0 days 00:01:10.115000,HARD,2.0,,,2020,1
GAS,41.0,0 days 00:01:09.646000,HARD,2.0,,,2020,1
GAS,42.0,0 days 00:01:09.453000,HARD,2.0,,,2020,1
GAS,43.0,0 days 00:01:09.429000,HARD,2.0,,,2020,1
GAS,44.0,0 days 00:01:09.370000,HARD,2.0,,,2020,1
GAS,45.0,0 days 00:01:09.370000,HARD,2.0,,,2020,1
GAS,46.0,0 days 00:01:28.958000,HARD,2.0,,,2020,1
GAS,47.0,0 days 00:01:34.649000,HARD,2.0,,,2020,1
GAS,48.0,0 days 00:01:43.812000,HARD,2.0,,,2020,1
GAS,49.0,0 days 00:01:33.431000,HARD,2.0,,,2020,1
GAS,50.0,0 days 00:01:41.284000,HARD,2.0,,,2020,1
GAS,51.0,0 days 00:01:55.497000,HARD,2.0,0 days 01:44:07.396000,,2020,1
GAS,52.0,0 days 00:01:55.197000,HARD,2.0,,0 days 01:44:27.194000,2020,1
GAS,53.0,0 days 00:01:50.947000,HARD,2.0,,,2020,1
GAS,54.0,0 days 00:01:43.204000,HARD,2.0,,,2020,1
GAS,55.0,0 days 00:01:32.585000,HARD,3.0,,,2020,1
GAS,56.0,0 days 00:01:10.672000,HARD,3.0,,,2020,1
GAS,57.0,0 days 00:01:10.370000,HARD,3.0,,,2020,1
GAS,58.0,0 days 00:01:09.341000,HARD,3.0,,,2020,1
GAS,59.0,0 days 00:01:09.025000,HARD,3.0,,,2020,1
GAS,60.0,0 days 00:01:09.359000,HARD,3.0,,,2020,1
GAS,61.0,0 days 00:01:09.943000,HARD,3.0,,,2020,1
GAS,62.0,0 days 00:01:09.521000,HARD,3.0,,,2020,1
GAS,63.0,0 days 00:01:09.361000,HARD,3.0,,,2020,1
GAS,64.0,0 days 00:01:09.484000,HARD,3.0,,,2020,1
GAS,65.0,0 days 00:01:09.121000,HARD,3.0,,,2020,1
GAS,66.0,0 days 00:01:09.640000,HARD,3.0,,,2020,1
GAS,67.0,,HARD,3.0,,,2020,1
PER,1.0,0 days 00:01:16.326000,SOFT,1.0,,,2020,1
PER,2.0,0 days 00:01:10.812000,SOFT,1.0,,,2020,1
PER,3.0,0 days 00:01:10.271000,SOFT,1.0,,,2020,1
PER,4.0,0 days 00:01:10.265000,SOFT,1.0,,,2020,1
PER,5.0,0 days 00:01:10.062000,SOFT,1.0,,,2020,1
PER,6.0,0 days 00:01:09.922000,SOFT,1.0,,,2020,1
PER,7.0,0 days 00:01:10.417000,SOFT,1.0,,,2020,1
PER,8.0,0 days 00:01:10.291000,SOFT,1.0,,,2020,1
PER,9.0,0 days 00:01:10.717000,SOFT,1.0,,,2020,1
PER,10.0,0 days 00:01:10.701000,SOFT,1.0,,,2020,1
PER,11.0,0 days 00:01:10.555000,SOFT,1.0,,,2020,1
PER,12.0,0 days 00:01:10.340000,SOFT,1.0,,,2020,1
PER,13.0,0 days 00:01:10.261000,SOFT,1.0,,,2020,1
PER,14.0,0 days 00:01:10.162000,SOFT,1.0,,,2020,1
PER,15.0,0 days 00:01:10.060000,SOFT,1.0,,,2020,1
PER,16.0,0 days 00:01:09.828000,SOFT,1.0,,,2020,1
PER,17.0,0 days 00:01:10.140000,SOFT,1.0,,,2020,1
PER,18.0,0 days 00:01:09.775000,SOFT,1.0,,,2020,1
PER,19.0,0 days 00:01:10.002000,SOFT,1.0,,,2020,1
PER,20.0,0 days 00:01:10.011000,SOFT,1.0,,,2020,1
PER,21.0,0 days 00:01:28.737000,SOFT,1.0,0 days 01:03:34.980000,,2020,1
PER,22.0,0 days 00:01:49.475000,SOFT,1.0,,0 days 01:03:57.359000,2020,1
PER,23.0,0 days 00:01:43.896000,SOFT,1.0,,,2020,1
PER,24.0,0 days 00:01:54.857000,SOFT,1.0,,,2020,1
PER,25.0,0 days 00:01:49.313000,MEDIUM,2.0,,,2020,1
PER,26.0,0 days 00:01:10.708000,MEDIUM,2.0,,,2020,1
PER,27.0,0 days 00:01:09.819000,MEDIUM,2.0,,,2020,1
PER,28.0,0 days 00:01:08.837000,MEDIUM,2.0,,,2020,1
PER,29.0,0 days 00:01:08.634000,MEDIUM,2.0,,,2020,1
PER,30.0,0 days 00:01:08.495000,MEDIUM,2.0,,,2020,1
PER,31.0,0 days 00:01:09.229000,MEDIUM,2.0,,,2020,1
PER,32.0,0 days 00:01:08.669000,MEDIUM,2.0,,,2020,1
PER,33.0,0 days 00:01:08.910000,MEDIUM,2.0,,,2020,1
PER,34.0,0 days 00:01:08.799000,MEDIUM,2.0,,,2020,1
PER,35.0,0 days 00:01:08.885000,MEDIUM,2.0,,,2020,1
PER,36.0,0 days 00:01:08.962000,MEDIUM,2.0,,,2020,1
PER,37.0,0 days 00:01:08.748000,MEDIUM,2.0,,,2020,1
PER,38.0,0 days 00:01:08.788000,MEDIUM,2.0,,,2020,1
PER,39.0,0 days 00:01:08.900000,MEDIUM,2.0,,,2020,1
PER,40.0,0 days 00:01:09.310000,MEDIUM,2.0,,,2020,1
PER,41.0,0 days 00:01:08.797000,MEDIUM,2.0,,,2020,1
PER,42.0,0 days 00:01:08.633000,MEDIUM,2.0,,,2020,1
PER,43.0,0 days 00:01:08.515000,MEDIUM,2.0,,,2020,1
PER,44.0,0 days 00:01:08.558000,MEDIUM,2.0,,,2020,1
PER,45.0,0 days 00:01:08.482000,MEDIUM,2.0,,,2020,1
PER,46.0,0 days 00:01:22.569000,MEDIUM,2.0,,,2020,1
PER,47.0,0 days 00:01:37.867000,MEDIUM,2.0,,,2020,1
PER,48.0,0 days 00:01:59.664000,MEDIUM,2.0,,,2020,1
PER,49.0,0 days 00:01:38.406000,MEDIUM,2.0,,,2020,1
PER,50.0,0 days 00:01:38.135000,MEDIUM,2.0,,,2020,1
PER,51.0,0 days 00:01:53.979000,MEDIUM,2.0,0 days 01:44:01.808000,,2020,1
PER,52.0,0 days 00:01:56.971000,MEDIUM,2.0,,0 days 01:44:18.729000,2020,1
PER,53.0,0 days 00:01:51.032000,MEDIUM,2.0,,,2020,1
PER,54.0,0 days 00:01:43.868000,MEDIUM,2.0,,,2020,1
PER,55.0,0 days 00:01:35.607000,MEDIUM,3.0,,,2020,1
PER,56.0,0 days 00:01:09.426000,MEDIUM,3.0,,,2020,1
PER,57.0,0 days 00:01:08.748000,MEDIUM,3.0,,,2020,1
PER,58.0,0 days 00:01:08.305000,MEDIUM,3.0,,,2020,1
PER,59.0,0 days 00:01:08.554000,MEDIUM,3.0,,,2020,1
PER,60.0,0 days 00:01:08.546000,MEDIUM,3.0,,,2020,1
PER,61.0,0 days 00:01:09.858000,MEDIUM,3.0,,,2020,1
PER,62.0,0 days 00:01:08.374000,MEDIUM,3.0,,,2020,1
PER,63.0,0 days 00:01:08.921000,MEDIUM,3.0,,,2020,1
PER,64.0,0 days 00:01:10.695000,MEDIUM,3.0,,,2020,1
PER,65.0,0 days 00:01:08.718000,MEDIUM,3.0,,,2020,1
PER,66.0,0 days 00:01:10.280000,MEDIUM,3.0,,,2020,1
PER,67.0,,MEDIUM,3.0,,,2020,1
LEC,1.0,0 days 00:01:16.847000,SOFT,1.0,,,2020,1
LEC,2.0,0 days 00:01:11.418000,SOFT,1.0,,,2020,1
LEC,3.0,0 days 00:01:09.925000,SOFT,1.0,,,2020,1
LEC,4.0,0 days 00:01:10.271000,SOFT,1.0,,,2020,1
LEC,5.0,0 days 00:01:10.310000,SOFT,1.0,,,2020,1
LEC,6.0,0 days 00:01:10.287000,SOFT,1.0,,,2020,1
LEC,7.0,0 days 00:01:10.596000,SOFT,1.0,,,2020,1
LEC,8.0,0 days 00:01:10.611000,SOFT,1.0,,,2020,1
LEC,9.0,0 days 00:01:10.333000,SOFT,1.0,,,2020,1
LEC,10.0,0 days 00:01:10.308000,SOFT,1.0,,,2020,1
LEC,11.0,0 days 00:01:10.278000,SOFT,1.0,,,2020,1
LEC,12.0,0 days 00:01:10.138000,SOFT,1.0,,,2020,1
LEC,13.0,0 days 00:01:10.177000,SOFT,1.0,,,2020,1
LEC,14.0,0 days 00:01:10.072000,SOFT,1.0,,,2020,1
LEC,15.0,0 days 00:01:09.954000,SOFT,1.0,,,2020,1
LEC,16.0,0 days 00:01:10.181000,SOFT,1.0,,,2020,1
LEC,17.0,0 days 00:01:10.245000,SOFT,1.0,,,2020,1
LEC,18.0,0 days 00:01:10.392000,SOFT,1.0,,,2020,1
LEC,19.0,0 days 00:01:10.117000,SOFT,1.0,,,2020,1
LEC,20.0,0 days 00:01:10.199000,SOFT,1.0,,,2020,1
LEC,21.0,0 days 00:01:29.806000,SOFT,1.0,0 days 01:03:39.058000,,2020,1
LEC,22.0,0 days 00:01:50.117000,SOFT,1.0,,0 days 01:04:01.812000,2020,1
LEC,23.0,0 days 00:01:41.051000,SOFT,1.0,,,2020,1
LEC,24.0,0 days 00:01:54.953000,SOFT,1.0,,,2020,1
LEC,25.0,0 days 00:01:47.566000,HARD,2.0,,,2020,1
LEC,26.0,0 days 00:01:10.877000,HARD,2.0,,,2020,1
LEC,27.0,0 days 00:01:10.125000,HARD,2.0,,,2020,1
