Driver,LapNumber,LapTime,Compound,Stint,PitInTime,PitOutTime,Year,Round
VER,1.0,0 days 00:01:37.284000,SOFT,1.0,,,2024,1
VER,2.0,0 days 00:01:36.296000,SOFT,1.0,,,2024,1
VER,3.0,0 days 00:01:36.753000,SOFT,1.0,,,2024,1
VER,4.0,0 days 00:01:36.647000,SOFT,1.0,,,2024,1
VER,5.0,0 days 00:01:37.173000,SOFT,1.0,,,2024,1
VER,6.0,0 days 00:01:37.092000,SOFT,1.0,,,2024,1
VER,7.0,0 days 00:01:37.038000,SOFT,1.0,,,2024,1
VER,8.0,0 days 00:01:37.024000,SOFT,1.0,,,2024,1
VER,9.0,0 days 00:01:37.229000,SOFT,1.0,,,2024,1
VER,10.0,0 days 00:01:36.960000,SOFT,1.0,,,2024,1
VER,11.0,0 days 00:01:37.085000,SOFT,1.0,,,2024,1
VER,12.0,0 days 00:01:37.045000,SOFT,1.0,,,2024,1
VER,13.0,0 days 00:01:37.030000,SOFT,1.0,,,2024,1
VER,14.0,0 days 00:01:37.028000,SOFT,1.0,,,2024,1
VER,15.0,0 days 00:01:37.011000,SOFT,1.0,,,2024,1
VER,16.0,0 days 00:01:37.168000,SOFT,1.0,,,2024,1
VER,17.0,0 days 00:01:39.896000,SOFT,1.0,0 days 01:27:30.291000,,2024,1
VER,18.0,0 days 00:01:57.854000,HARD,2.0,,0 days 01:27:55.379000,2024,1
VER,19.0,0 days 00:01:35.283000,HARD,2.0,,,2024,1
VER,20.0,0 days 00:01:35.160000,HARD,2.0,,,2024,1
VER,21.0,0 days 00:01:35.316000,HARD,2.0,,,2024,1
VER,22.0,0 days 00:01:35.204000,HARD,2.0,,,2024,1
VER,23.0,0 days 00:01:35.216000,HARD,2.0,,,2024,1
VER,24.0,0 days 00:01:35.289000,HARD,2.0,,,2024,1
VER,25.0,0 days 00:01:35.342000,HARD,2.0,,,2024,1
VER,26.0,0 days 00:01:35.223000,HARD,2.0,,,2024,1
VER,27.0,0 days 00:01:35.581000,HARD,2.0,,,2024,1
VER,28.0,0 days 00:01:35.477000,HARD,2.0,,,2024,1
VER,29.0,0 days 00:01:35.793000,HARD,2.0,,,2024,1
VER,30.0,0 days 00:01:35.771000,HARD,2.0,,,2024,1
VER,31.0,0 days 00:01:35.679000,HARD,2.0,,,2024,1
VER,32.0,0 days 00:01:35.886000,HARD,2.0,,,2024,1
VER,33.0,0 days 00:01:35.863000,HARD,2.0,,,2024,1
VER,34.0,0 days 00:01:36.133000,HARD,2.0,,,2024,1
VER,35.0,0 days 00:01:36.018000,HARD,2.0,,,2024,1
VER,36.0,0 days 00:01:36.205000,HARD,2.0,,,2024,1
VER,37.0,0 days 00:01:39.234000,HARD,2.0,0 days 01:59:47.796000,,2024,1
VER,38.0,0 days 00:01:56.445000,SOFT,3.0,,0 days 02:00:12.014000,2024,1
VER,39.0,0 days 00:01:32.608000,SOFT,3.0,,,2024,1
VER,40.0,0 days 00:01:36.589000,SOFT,3.0,,,2024,1
VER,41.0,0 days 00:01:35.290000,SOFT,3.0,,,2024,1
VER,42.0,0 days 00:01:34.667000,SOFT,3.0,,,2024,1
VER,43.0,0 days 00:01:34.151000,SOFT,3.0,,,2024,1
VER,44.0,0 days 00:01:34.531000,SOFT,3.0,,,2024,1
VER,45.0,0 days 00:01:34.249000,SOFT,3.0,,,2024,1
VER,46.0,0 days 00:01:34.193000,SOFT,3.0,,,2024,1
VER,47.0,0 days 00:01:34.239000,SOFT,3.0,,,2024,1
VER,48.0,0 days 00:01:34.350000,SOFT,3.0,,,2024,1
VER,49.0,0 days 00:01:34.403000,SOFT,3.0,,,2024,1
VER,50.0,0 days 00:01:34.783000,SOFT,3.0,,,2024,1
VER,51.0,0 days 00:01:34.340000,SOFT,3.0,,,2024,1
VER,52.0,0 days 00:01:34.906000,SOFT,3.0,,,2024,1
VER,53.0,0 days 00:01:35.600000,SOFT,3.0,,,2024,1
VER,54.0,0 days 00:01:35.334000,SOFT,3.0,,,2024,1
VER,55.0,0 days 00:01:35.184000,SOFT,3.0,,,2024,1
VER,56.0,0 days 00:01:34.671000,SOFT,3.0,,,2024,1
VER,57.0,0 days 00:01:34.923000,SOFT,3.0,,,2024,1
PER,1.0,0 days 00:01:40.053000,SOFT,1.0,,,2024,1
PER,2.0,0 days 00:01:36.541000,SOFT,1.0,,,2024,1
PER,3.0,0 days 00:01:37.297000,SOFT,1.0,,,2024,1
PER,4.0,0 days 00:01:37.722000,SOFT,1.0,,,2024,1
PER,5.0,0 days 00:01:38.044000,SOFT,1.0,,,2024,1
PER,6.0,0 days 00:01:37.823000,SOFT,1.0,,,2024,1
PER,7.0,0 days 00:01:37.821000,SOFT,1.0,,,2024,1
PER,8.0,0 days 00:01:37.838000,SOFT,1.0,,,2024,1
PER,9.0,0 days 00:01:37.596000,SOFT,1.0,,,2024,1
PER,10.0,0 days 00:01:37.630000,SOFT,1.0,,,2024,1
PER,11.0,0 days 00:01:37.836000,SOFT,1.0,,,2024,1
PER,12.0,0 days 00:01:40.277000,SOFT,1.0,0 days 01:19:34.991000,,2024,1
PER,13.0,0 days 00:01:57.624000,HARD,2.0,,0 days 01:19:59.484000,2024,1
PER,14.0,0 days 00:01:35.606000,HARD,2.0,,,2024,1
PER,15.0,0 days 00:01:36.815000,HARD,2.0,,,2024,1
PER,16.0,0 days 00:01:35.783000,HARD,2.0,,,2024,1
PER,17.0,0 days 00:01:36.454000,HARD,2.0,,,2024,1
PER,18.0,0 days 00:01:36.311000,HARD,2.0,,,2024,1
PER,19.0,0 days 00:01:36.038000,HARD,2.0,,,2024,1
PER,20.0,0 days 00:01:36.278000,HARD,2.0,,,2024,1
PER,21.0,0 days 00:01:36.165000,HARD,2.0,,,2024,1
PER,22.0,0 days 00:01:36.037000,HARD,2.0,,,2024,1
PER,23.0,0 days 00:01:36.249000,HARD,2.0,,,2024,1
PER,24.0,0 days 00:01:36.211000,HARD,2.0,,,2024,1
PER,25.0,0 days 00:01:36.344000,HARD,2.0,,,2024,1
PER,26.0,0 days 00:01:36.347000,HARD,2.0,,,2024,1
PER,27.0,0 days 00:01:36.233000,HARD,2.0,,,2024,1
PER,28.0,0 days 00:01:36.226000,HARD,2.0,,,2024,1
PER,29.0,0 days 00:01:36.437000,HARD,2.0,,,2024,1
PER,30.0,0 days 00:01:36.313000,HARD,2.0,,,2024,1
PER,31.0,0 days 00:01:36.339000,HARD,2.0,,,2024,1
PER,32.0,0 days 00:01:36.276000,HARD,2.0,,,2024,1
PER,33.0,0 days 00:01:36.564000,HARD,2.0,,,2024,1
PER,34.0,0 days 00:01:36.378000,HARD,2.0,,,2024,1
PER,35.0,0 days 00:01:36.776000,HARD,2.0,,,2024,1
PER,36.0,0 days 00:01:39.365000,HARD,2.0,0 days 01:58:30.216000,,2024,1
PER,37.0,0 days 00:01:55.808000,SOFT,3.0,,0 days 01:58:54.639000,2024,1
PER,38.0,0 days 00:01:34.804000,SOFT,3.0,,,2024,1
PER,39.0,0 days 00:01:34.607000,SOFT,3.0,,,2024,1
PER,40.0,0 days 00:01:34.364000,SOFT,3.0,,,2024,1
PER,41.0,0 days 00:01:34.400000,SOFT,3.0,,,2024,1
PER,42.0,0 days 00:01:34.525000,SOFT,3.0,,,2024,1
PER,43.0,0 days 00:01:34.797000,SOFT,3.0,,,2024,1
PER,44.0,0 days 00:01:34.799000,SOFT,3.0,,,2024,1
PER,45.0,0 days 00:01:34.592000,SOFT,3.0,,,2024,1
PER,46.0,0 days 00:01:34.844000,SOFT,3.0,,,2024,1
PER,47.0,0 days 00:01:34.730000,SOFT,3.0,,,2024,1
PER,48.0,0 days 00:01:34.885000,SOFT,3.0,,,2024,1
PER,49.0,0 days 00:01:34.966000,SOFT,3.0,,,2024,1
PER,50.0,0 days 00:01:35.082000,SOFT,3.0,,,2024,1
PER,51.0,0 days 00:01:34.940000,SOFT,3.0,,,2024,1
PER,52.0,0 days 00:01:35.183000,SOFT,3.0,,,2024,1
PER,53.0,0 days 00:01:35.842000,SOFT,3.0,,,2024,1
PER,54.0,0 days 00:01:35.459000,SOFT,3.0,,,2024,1
PER,55.0,0 days 00:01:35.611000,SOFT,3.0,,,2024,1
PER,56.0,0 days 00:01:35.568000,SOFT,3.0,,,2024,1
PER,57.0,0 days 00:01:35.746000,SOFT,3.0,,,2024,1
SAI,1.0,0 days 00:01:40.620000,SOFT,1.0,,,2024,1
SAI,2.0,0 days 00:01:37.236000,SOFT,1.0,,,2024,1
SAI,3.0,0 days 00:01:37.080000,SOFT,1.0,,,2024,1
SAI,4.0,0 days 00:01:37.264000,SOFT,1.0,,,2024,1
SAI,5.0,0 days 00:01:38.032000,SOFT,1.0,,,2024,1
SAI,6.0,0 days 00:01:37.741000,SOFT,1.0,,,2024,1
SAI,7.0,0 days 00:01:38.260000,SOFT,1.0,,,2024,1
SAI,8.0,0 days 00:01:38.183000,SOFT,1.0,,,2024,1
SAI,9.0,0 days 00:01:38.030000,SOFT,1.0,,,2024,1
SAI,10.0,0 days 00:01:37.608000,SOFT,1.0,,,2024,1
SAI,11.0,0 days 00:01:37.656000,SOFT,1.0,,,2024,1
SAI,12.0,0 days 00:01:37.650000,SOFT,1.0,,,2024,1
SAI,13.0,0 days 00:01:37.243000,SOFT,1.0,,,2024,1
SAI,14.0,0 days 00:01:39.753000,SOFT,1.0,0 days 01:22:50.807000,,2024,1
SAI,15.0,0 days 00:01:57.225000,HARD,2.0,,0 days 01:23:15.387000,2024,1
SAI,16.0,0 days 00:01:36.376000,HARD,2.0,,,2024,1
SAI,17.0,0 days 00:01:35.507000,HARD,2.0,,,2024,1
SAI,18.0,0 days 00:01:36.088000,HARD,2.0,,,2024,1
SAI,19.0,0 days 00:01:36.236000,HARD,2.0,,,2024,1
SAI,20.0,0 days 00:01:36.034000,HARD,2.0,,,2024,1
SAI,21.0,0 days 00:01:36.104000,HARD,2.0,,,2024,1
SAI,22.0,0 days 00:01:36.008000,HARD,2.0,,,2024,1
SAI,23.0,0 days 00:01:36.149000,HARD,2.0,,,2024,1
SAI,24.0,0 days 00:01:36.200000,HARD,2.0,,,2024,1
SAI,25.0,0 days 00:01:36.220000,HARD,2.0,,,2024,1
SAI,26.0,0 days 00:01:36.221000,HARD,2.0,,,2024,1
SAI,27.0,0 days 00:01:36.272000,HARD,2.0,,,2024,1
SAI,28.0,0 days 00:01:36.534000,HARD,2.0,,,2024,1
SAI,29.0,0 days 00:01:36.600000,HARD,2.0,,,2024,1
SAI,30.0,0 days 00:01:36.337000,HARD,2.0,,,2024,1
SAI,31.0,0 days 00:01:36.537000,HARD,2.0,,,2024,1
SAI,32.0,0 days 00:01:36.762000,HARD,2.0,,,2024,1
SAI,33.0,0 days 00:01:36.556000,HARD,2.0,,,2024,1
SAI,34.0,0 days 00:01:36.551000,HARD,2.0,,,2024,1
SAI,35.0,0 days 00:01:39.274000,HARD,2.0,0 days 01:56:56.614000,,2024,1
SAI,36.0,0 days 00:01:55.620000,HARD,3.0,,0 days 01:57:20.500000,2024,1
SAI,37.0,0 days 00:01:35.302000,HARD,3.0,,,2024,1
SAI,38.0,0 days 00:01:35.100000,HARD,3.0,,,2024,1
SAI,39.0,0 days 00:01:34.709000,HARD,3.0,,,2024,1
SAI,40.0,0 days 00:01:34.739000,HARD,3.0,,,2024,1
SAI,41.0,0 days 00:01:35.041000,HARD,3.0,,,2024,1
SAI,42.0,0 days 00:01:34.861000,HARD,3.0,,,2024,1
SAI,43.0,0 days 00:01:34.795000,HARD,3.0,,,2024,1
SAI,44.0,0 days 00:01:34.507000,HARD,3.0,,,2024,1
SAI,45.0,0 days 00:01:34.790000,HARD,3.0,,,2024,1
SAI,46.0,0 days 00:01:34.853000,HARD,3.0,,,2024,1
SAI,47.0,0 days 00:01:34.901000,HARD,3.0,,,2024,1
SAI,48.0,0 days 00:01:34.981000,HARD,3.0,,,2024,1
SAI,49.0,0 days 00:01:35.440000,HARD,3.0,,,2024,1
SAI,50.0,0 days 00:01:35.142000,HARD,3.0,,,2024,1
