Driver,LapNumber,LapTime,Compound,Stint,PitInTime,PitOutTime,Year,Round
VER,1.0,0 days 00:01:39.019000,SOFT,1.0,,,2023,1
VER,2.0,0 days 00:01:37.974000,SOFT,1.0,,,2023,1
VER,3.0,0 days 00:01:38.006000,SOFT,1.0,,,2023,1
VER,4.0,0 days 00:01:37.976000,SOFT,1.0,,,2023,1
VER,5.0,0 days 00:01:38.035000,SOFT,1.0,,,2023,1
VER,6.0,0 days 00:01:37.986000,SOFT,1.0,,,2023,1
VER,7.0,0 days 00:01:38.021000,SOFT,1.0,,,2023,1
VER,8.0,0 days 00:01:38.154000,SOFT,1.0,,,2023,1
VER,9.0,0 days 00:01:38.278000,SOFT,1.0,,,2023,1
VER,10.0,0 days 00:01:38.369000,SOFT,1.0,,,2023,1
VER,11.0,0 days 00:01:38.483000,SOFT,1.0,,,2023,1
VER,12.0,0 days 00:01:38.591000,SOFT,1.0,,,2023,1
VER,13.0,0 days 00:01:38.482000,SOFT,1.0,,,2023,1
VER,14.0,0 days 00:01:41.295000,SOFT,1.0,0 days 01:25:33.830000,,2023,1
VER,15.0,0 days 00:01:58.378000,SOFT,2.0,,0 days 01:25:58.127000,2023,1
VER,16.0,0 days 00:01:37.801000,SOFT,2.0,,,2023,1
VER,17.0,0 days 00:01:37.648000,SOFT,2.0,,,2023,1
VER,18.0,0 days 00:01:37.614000,SOFT,2.0,,,2023,1
VER,19.0,0 days 00:01:37.712000,SOFT,2.0,,,2023,1
VER,20.0,0 days 00:01:37.788000,SOFT,2.0,,,2023,1
VER,21.0,0 days 00:01:37.582000,SOFT,2.0,,,2023,1
VER,22.0,0 days 00:01:37.651000,SOFT,2.0,,,2023,1
VER,23.0,0 days 00:01:37.552000,SOFT,2.0,,,2023,1
VER,24.0,0 days 00:01:37.387000,SOFT,2.0,,,2023,1
VER,25.0,0 days 00:01:37.372000,SOFT,2.0,,,2023,1
VER,26.0,0 days 00:01:37.682000,SOFT,2.0,,,2023,1
VER,27.0,0 days 00:01:37.379000,SOFT,2.0,,,2023,1
VER,28.0,0 days 00:01:37.651000,SOFT,2.0,,,2023,1
VER,29.0,0 days 00:01:37.571000,SOFT,2.0,,,2023,1
VER,30.0,0 days 00:01:37.549000,SOFT,2.0,,,2023,1
VER,31.0,0 days 00:01:37.431000,SOFT,2.0,,,2023,1
VER,32.0,0 days 00:01:37.691000,SOFT,2.0,,,2023,1
VER,33.0,0 days 00:01:37.686000,SOFT,2.0,,,2023,1
VER,34.0,0 days 00:01:37.839000,SOFT,2.0,,,2023,1
VER,35.0,0 days 00:01:37.850000,SOFT,2.0,,,2023,1
VER,36.0,0 days 00:01:40.964000,SOFT,2.0,0 days 02:01:45.619000,,2023,1
VER,37.0,0 days 00:01:58.490000,HARD,3.0,,0 days 02:02:10.556000,2023,1
VER,38.0,0 days 00:01:36.297000,HARD,3.0,,,2023,1
VER,39.0,0 days 00:01:36.446000,HARD,3.0,,,2023,1
VER,40.0,0 days 00:01:36.942000,HARD,3.0,,,2023,1
VER,41.0,0 days 00:02:00.495000,HARD,3.0,,,2023,1
VER,42.0,0 days 00:01:44.824000,HARD,3.0,,,2023,1
