Driver,LapNumber,LapTime,Compound,Stint,PitInTime,PitOutTime,Year,Round
VER,1.0,0 days 00:01:59.392000,INTERMEDIATE,1.0,,,2025,1
VER,2.0,,INTERMEDIATE,1.0,0 days 01:15:38.205000,,2025,1
VER,3.0,,INTERMEDIATE,2.0,0 days 01:18:20.223000,0 days 01:15:51.658000,2025,1
VER,4.0,,INTERMEDIATE,3.0,0 days 01:20:56.543000,0 days 01:18:34.029000,2025,1
VER,5.0,0 days 00:02:23.609000,INTERMEDIATE,4.0,,0 days 01:21:09.534000,2025,1
VER,6.0,0 days 00:02:19.654000,INTERMEDIATE,4.0,,,2025,1
VER,7.0,0 days 00:02:16.447000,INTERMEDIATE,4.0,,,2025,1
VER,8.0,0 days 00:01:36.830000,INTERMEDIATE,4.0,,,2025,1
VER,9.0,0 days 00:01:34.315000,INTERMEDIATE,4.0,,,2025,1
VER,10.0,0 days 00:01:32.650000,INTERMEDIATE,4.0,,,2025,1
VER,11.0,0 days 00:01:32.453000,INTERMEDIATE,4.0,,,2025,1
VER,12.0,0 days 00:01:31.591000,INTERMEDIATE,4.0,,,2025,1
VER,13.0,0 days 00:01:31.271000,INTERMEDIATE,4.0,,,2025,1
VER,14.0,0 days 00:01:30.639000,INTERMEDIATE,4.0,,,2025,1
VER,15.0,0 days 00:01:30.328000,INTERMEDIATE,4.0,,,2025,1
VER,16.0,0 days 00:01:30.592000,INTERMEDIATE,4.0,,,2025,1
VER,17.0,0 days 00:01:33.392000,INTERMEDIATE,4.0,,,2025,1
VER,18.0,0 days 00:01:32.169000,INTERMEDIATE,4.0,,,2025,1
VER,19.0,0 days 00:01:31.939000,INTERMEDIATE,4.0,,,2025,1
VER,20.0,0 days 00:01:31.598000,INTERMEDIATE,4.0,,,2025,1
VER,21.0,0 days 00:01:31.177000,INTERMEDIATE,4.0,,,2025,1
VER,22.0,0 days 00:01:31.040000,INTERMEDIATE,4.0,,,2025,1
VER,23.0,0 days 00:01:30.686000,INTERMEDIATE,4.0,,,2025,1
VER,24.0,0 days 00:01:30.978000,INTERMEDIATE,4.0,,,2025,1
VER,25.0,0 days 00:01:30.845000,INTERMEDIATE,4.0,,,2025,1
VER,26.0,0 days 00:01:30.293000,INTERMEDIATE,4.0,,,2025,1
VER,27.0,0 days 00:01:29.731000,INTERMEDIATE,4.0,,,2025,1
VER,28.0,0 days 00:01:29.411000,INTERMEDIATE,4.0,,,2025,1
VER,29.0,0 days 00:01:29.043000,INTERMEDIATE,4.0,,,2025,1
VER,30.0,0 days 00:01:28.237000,INTERMEDIATE,4.0,,,2025,1
VER,31.0,0 days 00:01:28.127000,INTERMEDIATE,4.0,,,2025,1
VER,32.0,0 days 00:01:28.208000,INTERMEDIATE,4.0,,,2025,1
